Currency,Asks MEXC,Bids MEXC,Asks GateIo,Bids GateIo,Asks HUOBI,Bids HUOBI,Asks Ascendex,Bids Ascendex,diff,diff,diff,diff,diff,diff
ANKR,u,u,0.02895,0.0289,0.028953,0.028923,0.029095,0.028757,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.183%,Ask:Ascendex/Bid:GateIo: 0.674%,Ask:HUOBI/Bid:Ascendex: 0.681%
MANA,u,u,0.51717,0.5171,0.5172,0.5171,0.518,0.516,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.019%,Ask:GateIo/Bid:Ascendex: 0.226%,Ask:HUOBI/Bid:Ascendex: 0.232%
ZEC,u,u,35.69,35.65,35.73,35.7,35.67,35.5,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.224%,Ask:GateIo/Bid:Ascendex: 0.535%,Ask:HUOBI/Bid:Ascendex: 0.647%
WEMIX,u,u,0.974,0.9729,0.9769,0.9733,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.411%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
XEM,u,u,0.035825,0.035752,0.0358,0.0357,0.03583,0.03566,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.350%,Ask:GateIo/Bid:Ascendex: 0.462%,Ask:HUOBI/Bid:Ascendex: 0.392%
OSMO,u,u,0.7054,0.7023,0.7056,0.7032,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.469%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
AUDIO,u,u,0.26867,0.2681,0.2685,0.2684,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.149%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
DFI,u,u,0.45537,0.45293,0.4557,0.4542,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.611%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
APE,u,u,3.6098,3.6087,3.611,3.6099,3.6129,3.60452,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.063%,Ask:GateIo/Bid:Ascendex: 0.146%,Ask:HUOBI/Bid:Ascendex: 0.179%
LRC,u,u,0.31854,0.31787,0.3184,0.3181,0.32,0.3166,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.166%,Ask:Ascendex/Bid:GateIo: 0.670%,Ask:Ascendex/Bid:HUOBI: 0.597%
CFX,u,u,0.291304,0.29114,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
TFUEL,u,u,0.04787,0.04757,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
AZERO,u,u,1.1973,1.1971,1.1975,1.1882,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.765%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
DCR,u,u,18.054,17.928,18.1579,17.9726,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 1.282%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
HOT,u,u,0.001781,0.001779,u,u,0.001792,0.00177,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,Ask:Ascendex/Bid:GateIo: 0.730%,HUOBI/Ascendex: unavailable
ERXETH,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ETHW,u,u,2.4198,2.417,2.4181,2.4125,2.438,2.41,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.302%,Ask:Ascendex/Bid:GateIo: 0.868%,Ask:Ascendex/Bid:HUOBI: 1.056%
JASMY,u,u,0.007222,0.007216,0.007216,0.00721,unavailable,unavailable,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.166%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
GMX,u,u,69.612,69.413,69.5212,69.5027,69.88,69.13,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.157%,Ask:GateIo/Bid:Ascendex: 0.697%,Ask:HUOBI/Bid:Ascendex: 0.565%
ENS,u,u,11.213,11.192,11.2099,11.2046,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.159%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ROSE,u,u,0.05737,0.057257,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ENJ,u,u,0.36856,0.368,0.3683,0.3681,0.3705,0.3665,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.124%,Ask:Ascendex/Bid:GateIo: 0.679%,Ask:Ascendex/Bid:HUOBI: 0.651%
LUNA,u,u,1.1308,1.1302,1.1306,1.1301,unavailable,unavailable,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.061%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
FET,u,u,0.29351,0.29311,0.2937,0.2935,0.29391,0.29325,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.201%,Ask:Ascendex/Bid:GateIo: 0.272%,Ask:HUOBI/Bid:Ascendex: 0.153%
CELO,0.561,0.56,0.56113,0.56011,0.5609,0.5608,u,u,Ask:GateIo/Bid:MEXC: 0.201%,Ask:HUOBI/Bid:MEXC: 0.160%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.141%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
COMP,39.2,39.19,39.225,39.174,39.23,39.2,39.5,39,Ask:GateIo/Bid:MEXC: 0.089%,Ask:HUOBI/Bid:MEXC: 0.102%,Ask:Ascendex/Bid:MEXC: 0.791%,Ask:HUOBI/Bid:GateIo: 0.142%,Ask:Ascendex/Bid:GateIo: 0.832%,Ask:Ascendex/Bid:HUOBI: 0.765%
GNO,u,u,120.86,119.57,120.0669,119.4642,120,118.6,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 1.168%,Ask:GateIo/Bid:Ascendex: 1.905%,Ask:HUOBI/Bid:Ascendex: 1.236%
YFI,7895,7894,7923.17,7894.23,7900.13,7895.25,u,u,Ask:GateIo/Bid:MEXC: 0.369%,Ask:HUOBI/Bid:MEXC: 0.077%,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.353%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ILV,49.15,49.12,49.21,49.09,u,u,u,u,Ask:GateIo/Bid:MEXC: 0.183%,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BDX,u,u,0.04716,0.04715,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BLUR,0.5264,0.5263,0.5265,0.5261,0.5267,0.526,0.5252,0.52393,Ask:MEXC/Bid:GateIo: 0.057%,Ask:HUOBI/Bid:MEXC: 0.076%,Ask:MEXC/Bid:Ascendex: 0.471%,Ask:HUOBI/Bid:GateIo: 0.114%,Ask:GateIo/Bid:Ascendex: 0.490%,Ask:HUOBI/Bid:Ascendex: 0.528%
XCH,37.34,37.33,37.384,37.301,37.4068,37.3393,u,u,Ask:GateIo/Bid:MEXC: 0.144%,Ask:HUOBI/Bid:MEXC: 0.205%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.283%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ICX,0.2738,0.2737,0.2739,0.2734,0.2742,0.2739,u,u,Ask:MEXC/Bid:GateIo: 0.146%,Ask:HUOBI/Bid:MEXC: 0.182%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.292%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
KSM,27.88,27.87,27.913,27.843,27.8983,27.881,u,u,Ask:GateIo/Bid:MEXC: 0.154%,Ask:HUOBI/Bid:MEXC: 0.101%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.198%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
LN,u,u,40.582,40.331,40.536,40.2823,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.743%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
RVN,0.0222,0.02219,0.02221,0.02213,0.02219,0.022179,0.022207,0.022166,Ask:MEXC/Bid:GateIo: 0.316%,Ask:MEXC/Bid:HUOBI: 0.094%,Ask:MEXC/Bid:Ascendex: 0.153%,Ask:HUOBI/Bid:GateIo: 0.271%,Ask:Ascendex/Bid:GateIo: 0.347%,Ask:Ascendex/Bid:HUOBI: 0.126%
GALA,0.03231,0.0323,0.032329,0.032312,0.032349,0.032313,0.03243,0.03215,Ask:GateIo/Bid:MEXC: 0.089%,Ask:HUOBI/Bid:MEXC: 0.151%,Ask:MEXC/Bid:Ascendex: 0.497%,Ask:HUOBI/Bid:GateIo: 0.114%,Ask:GateIo/Bid:Ascendex: 0.556%,Ask:HUOBI/Bid:Ascendex: 0.618%
MAGIC,u,u,1.02518,1.02476,1.0253,1.0248,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.052%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
OME,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
QTUM,2.753,2.752,2.753,2.751,2.755,2.7532,2.759,2.7531,Ask:MEXC/Bid:GateIo: 0.072%,Ask:HUOBI/Bid:MEXC: 0.109%,Ask:Ascendex/Bid:MEXC: 0.254%,Ask:HUOBI/Bid:GateIo: 0.145%,Ask:Ascendex/Bid:GateIo: 0.290%,Ask:Ascendex/Bid:HUOBI: 0.210%
PAXG,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
T,0.03158,0.03157,0.0317,0.03157,0.0317,0.0316,u,u,Ask:GateIo/Bid:MEXC: 0.411%,Ask:HUOBI/Bid:MEXC: 0.411%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.411%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
HNT,u,u,1.4861,1.4848,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BTG,u,u,14.1044,14.101,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
OHM,u,u,55.957,55.531,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BAND,u,u,1.6579,1.6502,1.6549,1.6526,1.6653,1.6431,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.320%,Ask:Ascendex/Bid:GateIo: 0.915%,Ask:Ascendex/Bid:HUOBI: 0.768%
GLM,u,u,0.2321,0.2299,0.2319,0.2303,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.869%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ONT,u,u,0.2265,0.226,0.2264,0.2263,0.2262,0.2259,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.176%,Ask:GateIo/Bid:Ascendex: 0.265%,Ask:HUOBI/Bid:Ascendex: 0.221%
JST,u,u,0.02429,0.02426,0.024315,0.024312,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.226%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BONE,u,u,0.8331,0.828,0.8395,0.8264,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 1.388%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BAL,u,u,6.0941,6.0721,6.0932,6.0822,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.347%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
KDA,u,u,0.87323,0.87273,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
RON,u,u,1.0167,1.0078,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
GMT,u,u,0.29528,0.29512,0.2951,0.2947,unavailable,unavailable,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.196%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ZRX,u,u,0.2429,0.2423,0.2427,0.2425,0.24298,0.24247,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.165%,Ask:Ascendex/Bid:GateIo: 0.280%,Ask:Ascendex/Bid:HUOBI: 0.197%
ID,u,u,0.550028,0.549527,u,u,unavailable,unavailable,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
GLMR,u,u,0.32277,0.32172,0.3221,0.3219,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.270%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
KRD,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
LYXE,u,u,14.4119,14.3599,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
HIVE,u,u,0.3957,0.3926,0.3959,0.3915,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 1.072%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
SUSHI,u,u,1.0021,1.0004,1.0018,1.0016,1.009,0.994,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.139%,Ask:Ascendex/Bid:GateIo: 0.859%,Ask:HUOBI/Bid:Ascendex: 0.784%
SC,u,u,0.003834,0.003806,0.00383,0.003803,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.815%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
WAVES,u,u,1.816,1.813,1.8145,1.8135,1.865,1.768,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.137%,Ask:Ascendex/Bid:GateIo: 2.868%,Ask:Ascendex/Bid:HUOBI: 2.839%
BICO,u,u,0.33094,0.32995,0.3308,0.3302,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.257%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
IOTX,u,u,0.02352,0.023478,0.023538,0.0235,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.255%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
MULTI,u,u,8.9952,8.9101,8.9526,8.9248,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.788%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
AMP,u,u,0.003327,0.003303,0.003317,0.003313,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.423%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
IOST,u,u,0.010111,0.010085,0.010102,0.010099,0.010103,0.010083,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.168%,Ask:GateIo/Bid:Ascendex: 0.277%,Ask:HUOBI/Bid:Ascendex: 0.188%
DAO,u,u,1.5406,1.54039,1.545,1.51,1.5266,1.5113,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 2.026%,Ask:GateIo/Bid:Ascendex: 1.938%,Ask:HUOBI/Bid:Ascendex: 2.229%
ASTR,0.05698,0.05697,0.057057,0.056976,0.057067,0.05702,u,u,Ask:GateIo/Bid:MEXC: 0.152%,Ask:HUOBI/Bid:MEXC: 0.170%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.159%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BORA,u,u,0.17163,0.16937,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
POLY,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
CHSB,u,u,u,u,0.1627,0.1597,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
XYM,u,u,0.030242,0.029635,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
SKL,u,u,0.035186,0.035165,0.035183,0.035143,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.122%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
SFP,u,u,0.44159,0.43926,u,u,0.4428,0.4377,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,Ask:GateIo/Bid:Ascendex: 0.888%,HUOBI/Ascendex: unavailable
ACH,u,u,0.027423,0.027402,0.027389,0.027375,0.02758,0.02723,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.175%,Ask:GateIo/Bid:Ascendex: 0.708%,Ask:Ascendex/Bid:HUOBI: 0.748%
BNX,u,u,0.5735,0.572,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
OCEAN,u,u,0.33753,0.33707,0.3378,0.3368,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.216%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
TOMI,u,u,3.18711,3.17874,3.2198,3.1759,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 1.291%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
LQTY,u,u,1.4698,1.4684,1.4698,1.4676,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.149%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ACS,u,u,0.00468286,0.00467473,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
SYN,u,u,0.7443,0.7432,0.7455,0.7429,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.309%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
CELR,0.0214,0.02139,0.021408,0.021379,u,u,0.021537,0.021283,Ask:MEXC/Bid:GateIo: 0.098%,MEXC/HUOBI: unavailable,Ask:Ascendex/Bid:MEXC: 0.687%,GateIo/HUOBI: unavailable,Ask:Ascendex/Bid:GateIo: 0.739%,HUOBI/Ascendex: unavailable
LPT,u,u,5.191,5.179,5.186,5.1809,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.194%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
TEL,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
STG,0.7159,0.7158,0.7161,0.7149,0.716,0.7155,u,u,Ask:MEXC/Bid:GateIo: 0.139%,Ask:MEXC/Bid:HUOBI: 0.055%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.153%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
KUB,u,u,1.6763,1.6742,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
EXRD,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
DESO,u,u,11.2996,11.2209,u,u,11.62,11.5,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,Ask:Ascendex/Bid:GateIo: 3.556%,HUOBI/Ascendex: unavailable
FLUX,u,u,0.55493,0.55286,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
SSV,u,u,21.6933,21.6386,21.7086,21.653,21.83,21.57,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.323%,Ask:Ascendex/Bid:GateIo: 0.884%,Ask:Ascendex/Bid:HUOBI: 0.817%
CKB,0.003546,0.003545,0.0035461,0.00354,0.003553,0.003543,0.003546,0.003528,Ask:MEXC/Bid:GateIo: 0.169%,Ask:HUOBI/Bid:MEXC: 0.225%,Ask:MEXC/Bid:Ascendex: 0.510%,Ask:HUOBI/Bid:GateIo: 0.367%,Ask:GateIo/Bid:Ascendex: 0.513%,Ask:HUOBI/Bid:Ascendex: 0.708%
STRD,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
LSK,u,u,0.94,0.9336,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BRISE,u,u,0.00000034042,0.00000033994,3.462e-07,3.431e-07,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 1.841%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ZEN,8.805,8.804,8.816,8.801,8.8208,8.8003,u,u,Ask:GateIo/Bid:MEXC: 0.136%,Ask:HUOBI/Bid:MEXC: 0.190%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.224%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
